gate	classification	evidence
vm-http-acme-worker-migration-check	required-local	gate:vm-http-acme-worker-migration-check
vm-http-acme-cache-custody-check	required-local	gate:vm-http-acme-cache-custody-check
vm-http-acme-renewal-rotation-check	required-local	gate:vm-http-acme-renewal-rotation-check
vm-http-protocol-readiness-check	required-local	gate:vm-http-protocol-readiness-check
vm-http-serve-config-check	required-local	gate:vm-http-serve-config-check
vm-runtime-observability-check	required-local	gate:vm-runtime-observability-check
vm-supervision-restart-check	required-local	gate:vm-supervision-restart-check
vm-timer-deadline-check	required-local	gate:vm-timer-deadline-check
vm-memory-heap-pressure-check	required-local	gate:vm-memory-heap-pressure-check
vm-native-boundary-contract-check	required-local	gate:vm-native-boundary-contract-check
vm-postgres-runtime-check	required-local	gate:vm-postgres-runtime-check
vm-sql-macro-validation-check	required-local	gate:vm-sql-macro-validation-check
vm-db-migration-command-check	required-local	gate:vm-db-migration-command-check
vm-dev-dependency-orchestration-check	required-local	gate:vm-dev-dependency-orchestration-check
vm-release-artifact-matrix-check	required-platform	report:target/quality/vm-release-artifact-matrix-report.json
release-promotion-pipeline-check	retired	superseded:release-readiness-attestation-check
release-example-projects-check	required-local	gate:release-example-projects-check
release-diagnostic-catalog-check	required-local	gate:release-diagnostic-catalog-check
release-compatibility-baseline-check	required-local	gate:release-compatibility-baseline-check
release-supply-chain-provenance-check	required-local	gate:release-supply-chain-provenance-check
release-security-hardening-check	required-local	gate:release-security-hardening-check
release-support-bundle-check	required-local	gate:release-support-bundle-check
release-performance-baseline-check	required-controlled-host	report:target/quality/release-performance-baseline-report.json
release-readiness-attestation-check	required-local	gate:release-readiness-attestation-check
release-staged-distribution-verification-check	required-local	gate:release-staged-distribution-verification-check
release-notes-accuracy-check	required-local	gate:release-notes-accuracy-check
release-version-channel-check	required-local	gate:release-version-channel-check
release-generated-artifacts-check	required-local	gate:release-generated-artifacts-check
release-code-hygiene-check	required-local	gate:release-code-hygiene-check
release-project-upgrade-matrix-check	required-local	gate:release-project-upgrade-matrix-check
release-reference-app-suite-check	required-local	gate:release-reference-app-suite-check
release-adversarial-corpus-check	required-local	gate:release-adversarial-corpus-check
release-mutation-check	required-local	gate:release-mutation-check
release-fault-injection-check	required-local	gate:release-fault-injection-check
native-no-std-target-feasibility-check	experimental	none
device-target-planner-check	required-platform	report:target/quality/vm-release-artifact-matrix-report.json
package-resolver-reproducibility-check	required-local	gate:package-resolver-reproducibility-check
package-capability-contract-check	required-local	gate:package-capability-contract-check
package-release-test-matrix-check	required-local	gate:package-release-test-matrix-check
package-api-compatibility-check	required-local	gate:package-api-compatibility-check
package-cli-workflow-check	required-local	gate:package-cli-workflow-check
package-editor-integration-check	required-local	gate:package-editor-integration-check
package-cache-integrity-check	required-local	gate:package-cache-integrity-check
package-workspace-graph-check	required-local	gate:package-workspace-graph-check
package-build-artifact-isolation-check	required-local	gate:package-build-artifact-isolation-check
build-artifact-budget-check	required-local	gate:build-artifact-budget-check
source-map-debug-info-check	required-local	gate:source-map-debug-info-check
compiler-incremental-cache-check	required-local	gate:compiler-incremental-cache-check
watch-mode-hot-reload-check	required-local	gate:watch-mode-hot-reload-check
aot-developer-hot-reload-check	required-local	gate:aot-developer-hot-reload-check
release-flake-detection-check	required-local	gate:release-flake-detection-check
release-gate-shard-resume-check	required-local	gate:release-gate-shard-resume-check
release-gate-duration-budget-check	required-local	gate:release-gate-duration-budget-check
release-gate-report-schema-check	required-local	gate:release-gate-report-schema-check
release-failure-reproduction-check	required-local	gate:release-failure-reproduction-check
dev-fast-feedback-profile-check	required-local	gate:dev-fast-feedback-profile-check
docs-codeblock-executable-check	required-local	gate:docs-codeblock-executable-check
internal-docs-check	required-local	gate:internal-docs-check
editor-definition-navigation-check	required-local	gate:editor-definition-navigation-check
editor-code-action-auto-import-check	required-local	gate:editor-code-action-auto-import-check
editor-completion-signature-check	required-local	gate:editor-completion-signature-check
editor-runnable-debug-launch-check	required-local	gate:editor-runnable-debug-launch-check
editor-semantic-token-icon-check	required-local	gate:editor-semantic-token-icon-check
editor-diagnostic-parity-check	required-local	gate:editor-diagnostic-parity-check
editor-extension-install-update-check	required-local	gate:editor-extension-install-update-check
target-inference-default-vm-check	required-local	gate:target-inference-default-vm-check
runtime-aot-only-check	required-local	gate:runtime-aot-only-check
tvm-direct-aot-backend-check	required-local	gate:tvm-direct-aot-backend-check
tvm-managed-list-profile-benchmark-check	required-controlled-host	report:target/quality/release-performance-baseline-report.json
terlan-vm-artifact-format-check	required-local	gate:terlan-vm-artifact-format-check
tvm-native-image-format-check	required-local	gate:tvm-native-image-format-check
tvm-native-image-loader-check	required-local	gate:tvm-native-image-loader-check
tvm-aot-consumer-check	required-local	gate:tvm-aot-consumer-check
tvm-aot-shard-ownership-check	required-local	gate:tvm-aot-shard-ownership-check
tvm-aot-supervisor-lifecycle-check	required-local	gate:tvm-aot-supervisor-lifecycle-check
tvm-aot-capability-worker-check	required-local	gate:tvm-aot-capability-worker-check
tvm-aot-image-lifetime-check	required-local	gate:tvm-aot-image-lifetime-check
tvm-aot-lowering-coverage-check	required-local	gate:tvm-aot-lowering-coverage-check
tail-recursion-lowering-check	required-local	gate:tail-recursion-lowering-check
termination-productivity-analysis-check	required-local	gate:termination-productivity-analysis-check
binding-shadowing-safety-check	required-local	gate:binding-shadowing-safety-check
tvm-aot-http-performance-check	required-controlled-host	report:target/quality/release-performance-baseline-report.json
tvm-aot-platform-matrix-check	required-platform	report:target/quality/vm-release-artifact-matrix-report.json
vm-multicore-invariant-inventory-check	required-local	gate:vm-multicore-invariant-inventory-check
vm-actor-mutator-ownership-check	required-local	gate:vm-actor-mutator-ownership-check
vm-multicore-mailbox-publication-check	required-local	gate:vm-multicore-mailbox-publication-check
vm-multicore-fixed-placement-check	required-local	gate:vm-multicore-fixed-placement-check
tvm-aot-multicore-migration-check	required-local	gate:tvm-aot-multicore-migration-check
vm-multicore-work-stealing-check	required-local	gate:vm-multicore-work-stealing-check
vm-multicore-runtime-cleanup-check	required-local	gate:vm-multicore-runtime-cleanup-check
vm-multicore-runtime-integration-check	required-local	gate:vm-multicore-runtime-integration-check
vm-epmd-discovery-check	required-local	gate:vm-epmd-discovery-check
vm-multicore-replay-observability-check	required-local	gate:vm-multicore-replay-observability-check
vm-multicore-performance-check	required-controlled-host	report:target/quality/vm-multicore-release-closeout.json
vm-multicore-memory-model-check	required-local	gate:vm-multicore-memory-model-check
vm-multicore-thread-sanitizer-check	required-controlled-host	report:target/quality/vm-multicore-release-closeout.json
vm-multicore-mc9-evidence-check	required-controlled-host	report:target/quality/vm-multicore-release-closeout.json
vm-scheduler-fairness-check	required-controlled-host	report:target/quality/vm-multicore-release-closeout.json
tvm-aot-runtime-transition-check	required-local	gate:tvm-aot-runtime-transition-check
tvm-managed-memory-check	required-local	gate:tvm-managed-memory-check
rust-quality-check	required-local	gate:rust-quality-check
roadmap-gate-integrity-check	required-local	gate:roadmap-gate-integrity-check
check	required-local	gate:check
vm-multicore-release-check	required-local	gate:vm-multicore-release-check
tvm-aot-multicore-readiness-check	required-local	gate:tvm-aot-multicore-readiness-check
tvm-aot-roadmap-reconciliation-check	required-local	gate:tvm-aot-roadmap-reconciliation-check
tvm-aot-c-abi-boundary-check	required-platform	report:target/quality/vm-release-artifact-matrix-report.json
tvm-aot-compilation-time-check	required-local	gate:tvm-aot-compilation-time-check
tvm-single-image-artifact-check	required-local	gate:tvm-single-image-artifact-check
no-tvm-json-runtime-check	required-local	gate:no-tvm-json-runtime-check
no-vmir-interpreter-check	required-local	gate:no-vmir-interpreter-check
vm-native-worker-runtime-check	required-local	gate:vm-native-worker-runtime-check
vm-io-reactor-runtime-check	required-local	gate:vm-io-reactor-runtime-check
vm-http-handler-dispatch-check	required-local	gate:vm-http-handler-dispatch-check
vm-http-handler-scheduler-fairness-check	required-local	gate:vm-http-handler-scheduler-fairness-check
vm-http-stateful-actor-session-check	required-local	gate:vm-http-stateful-actor-session-check
vm-live-template-stream-check	required-local	gate:vm-live-template-stream-check
vm-live-template-client-protocol-check	required-local	gate:vm-live-template-client-protocol-check
typed-template-render-mode-check	required-local	gate:typed-template-render-mode-check
web-asset-pipeline-check	required-local	gate:web-asset-pipeline-check
vm-web-security-policy-check	required-local	gate:vm-web-security-policy-check
vm-web-config-secret-boundary-check	required-local	gate:vm-web-config-secret-boundary-check
vm-web-observability-check	required-local	gate:vm-web-observability-check
vm-web-lifecycle-health-check	required-local	gate:vm-web-lifecycle-health-check
vm-web-deployment-profile-check	required-local	gate:vm-web-deployment-profile-check
vm-web-route-schema-client-check	required-local	gate:vm-web-route-schema-client-check
vm-model-sync-store-check	required-local	gate:vm-model-sync-store-check
vm-persistent-actor-store-check	required-local	gate:vm-persistent-actor-store-check
vm-persistent-actor-schema-check	required-local	gate:vm-persistent-actor-schema-check
vm-persistent-actor-compaction-check	required-local	gate:vm-persistent-actor-compaction-check
vm-persistent-actor-restore-check	required-local	gate:vm-persistent-actor-restore-check
vm-persistent-actor-adapter-conformance-check	required-local	gate:vm-persistent-actor-adapter-conformance-check
vm-persistent-actor-performance-budget-check	required-controlled-host	report:target/quality/release-performance-baseline-report.json
vm-persistent-actor-telemetry-check	required-local	gate:vm-persistent-actor-telemetry-check
vm-persistent-actor-policy-check	required-local	gate:vm-persistent-actor-policy-check
vm-semantics-vs-otp-check	required-local	gate:vm-semantics-vs-otp-check
terlc-debugger-check	required-local	gate:terlc-debugger-check
achamp-adversarial-coverage-check	required-local	gate:achamp-adversarial-coverage-check
roadmap-legacy-runtime-cleanup-check	required-local	gate:roadmap-legacy-runtime-cleanup-check
dormant-runtime-code-check	required-local	gate:dormant-runtime-code-check
no-default-tokio-runtime-check	required-local	gate:no-default-tokio-runtime-check
vm-tcp-stream-check	required-local	gate:vm-tcp-stream-check
terlan-vm-http-lane-check	required-local	gate:terlan-vm-http-lane-check
release-0-0-7-preflight	required-local	gate:release-0-0-7-preflight
