# file_glob	line_regex	category	notes
ROADMAP_0_0_7.md	^\s*compiler\ internals,\ ERTS\ internals,\ EUnit/Common\ Test\ mechanics,\ OTP\ app$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*test\-suite\ material\.\ OTP\-compatible\ EPMD\ discovery\ is\ product\ behavior\ and$	parity-port	Roadmap line scopes retained OTP-compatible discovery as behavior to port into the Terlan-owned VM.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ no\ Erlang\ test\ may\ remain\ unclassified\.\ No\ suite\ may\ be$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ Common\ Test/EUnit\ suites\ must\ not\ be\ treated\ as\ release$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ tests\ for\ BEAM\ bytecode\ compatibility,\ ERTS\ internals,$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*Erlang\ distribution,\ OTP\ app\ loading,\ compiler\ app\ behavior,\ or\ stock\ OTP$	parity-port	Roadmap line distinguishes retired Erlang distribution mechanics from retained EPMD discovery.
ROADMAP_0_0_7.md	^\s*Erlang\ distribution/ETF\ wire\ tags,\ atom\-cache\ slots,\ distribution\ flags,$	removal	Roadmap line records retired Erlang distribution-wire mechanics without retiring EPMD discovery.
ROADMAP_0_0_7.md	^\s*OTP\-compatible\ EPMD\ discovery\ remains\ an\ independently\ ported\ Terlan\ VM$	parity-port	Roadmap line records EPMD discovery as an independently retained Terlan VM behavior.
ROADMAP_0_0_7.md	^\s*stock\ OTP\ libraries\ must\ be\ removed\ unless\ Terlan\ VM\ owns\ the\ same\ behavior$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ Completed\ progress:\ `no\-terlan\-vm\-erts\-rust\-dependency\-check`\ now\ rejects$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*placeholder\ ERTS\ Rust\ quarantine\ docs\ while\ enforcing\ that\ retired$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust`\ gates\ stay\ out\ of\ default\ check,\ release,\ and\ publish$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/unicode_helpers\.rs`:\ the\ golden\ VM\ owns$	parity-port	Roadmap line records verified file-level replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/checksum\.rs`:\ the\ production\ VM\ uses\ the$	parity-port	Roadmap line records verified file-level replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_suspension\.rs`:\ the\ golden$	parity-port	Roadmap line records verified file-level replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_wakeup\.rs`:\ the\ golden$	parity-port	Roadmap line records verified timer, suspension, and message wakeup replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_priority\.rs`:\ the\ golden$	parity-port	Roadmap line records verified scheduler-priority replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_ports\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified typed-resource replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_info\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native process inspection replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_registry\.rs`:\ the\ golden$	parity-port	Roadmap line records verified VM-native process registry replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_aliases\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native process alias replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_flags\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native trap-exit state replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_identity\.rs`:\ the\ golden$	parity-port	Roadmap line records verified VM-native actor self-identity replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_info_location\.rs`:\ the$	parity-port	Roadmap line records verified VM-native process execution-location replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*erlc\ invocation,\ BEAM\ loader,\ atom\ table,\ tuple\ tag,\ and\ metadata\-list$	removal	Roadmap line explains the retired compatibility encoding after typed VM process-location replacement and terminal fixture deletion.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_info_imports\.rs`:\ the$	parity-port	Roadmap line records verified VM-native process relationship and stacktrace inspection evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_memory_imports\.rs`:\ the$	parity-port	Roadmap line records verified VM-native rooted process heap collection evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_scheduler_imports\.rs`:\ the$	parity-port	Roadmap line records verified VM-native cooperative scheduler yield evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_send_imports\.rs`:\ the$	parity-port	Roadmap line records verified VM-native typed actor send evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_spawn_imports\.rs`:\ the$	parity-port	Roadmap line records verified VM-native typed actor spawn evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_reference_imports\.rs`:\ the$	parity-port	Roadmap line records verified VM-native reference identity evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_timer_imports\.rs`:\ the$	parity-port	Roadmap line records verified VM-native delayed actor timer evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_timer_option_imports\.rs`:\ the$	parity-port	Roadmap line records verified VM-native typed timer option evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_environment_imports\.rs`:\ the$	parity-port	Roadmap line records verified VM-native runtime environment metrics evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_model\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native runtime model and process-table inspection evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_relationships\.rs`:\ the\ golden$	parity-port	Roadmap line records verified VM-native actor relationship lifecycle evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_results\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native scheduler result evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_signals\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native failure-notification delivery and actor wakeup evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_lifecycle\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native integrated actor lifecycle cleanup evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_memory\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native memory ownership and pressure-rollback evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_observability\.rs`:\ the\ golden$	parity-port	Roadmap line records verified VM-native correlated runtime observability evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_timers\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native timer ordering, cancellation, delivery, and lifecycle-race evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/heap_gc_owner_modules\.rs`:\ the\ golden\ VM$	parity-port	Roadmap line records verified VM-native memory ownership and rooted-collection replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_term_model\.rs`:\ the\ golden\ VM\ now$	parity-port	Roadmap line records verified typed aggregate-value and logical retained-size replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_structured_register_value\.rs`:\ the$	parity-port	Roadmap line records verified structured-value binding and function-call replacement evidence before deleting the BEAM register-owner compatibility suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_function_arity_lowering\.rs`:$	parity-port	Roadmap line records verified typed CoreIR function-arity replacement evidence before deleting the BEAM opcode-lowering compatibility suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_boolean_lowering\.rs`:$	parity-port	Roadmap line records verified typed CoreIR boolean discrimination evidence before deleting the BEAM opcode-lowering compatibility suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_boolean_bifs\.rs`:$	parity-port	Roadmap line records verified typed CoreIR boolean operator evidence before deleting the Erlang BIF compatibility suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_compare_bifs\.rs`:$	parity-port	Roadmap line records verified typed CoreIR comparison operator evidence before deleting the Erlang BIF and BEAM opcode compatibility suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_gc_bif2_boolean_lowering\.rs`:$	parity-port	Roadmap line records composed typed CoreIR GC-BIF2 behavior evidence before deleting the BEAM lowering compatibility suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_gc_bif2_conversion_lowering\.rs`:$	parity-port	Roadmap line records typed integer-radix and immutable atom conversion evidence before deleting the BEAM lowering compatibility suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_integer_conversion_raw_ops\.rs`:$	parity-port	Roadmap line records typed decimal and radix integer conversion evidence before deleting the raw opcode compatibility suite.
ROADMAP_0_0_7.md	^\s*sizes\ for\ empty\ and\ nested\ aggregate\ values\.\ The\ historical\ BEAM\ raw\-word$	removal	Roadmap line explains why BEAM raw-word representation assertions are intentionally absent from typed Terlan VM values.
ROADMAP_0_0_7.md	^\s*parameter\ binding\.\ The\ historical\ BEAM\ opcode\ 115,\ tagged\ operand\ bytes,$	removal	Roadmap line explains why BEAM function-arity opcode representation assertions are intentionally absent from typed CoreIR execution.
ROADMAP_0_0_7.md	^\s*Terlan\ VM\ executes\ typed\ CoreIR\ rather\ than\ BEAM\ bytecode\.\ Focused\ closure\ and$	removal	Roadmap line records that typed CoreIR replaces the retired BEAM bytecode execution representation.
ROADMAP_0_0_7.md	^\s*path\.\ The\ historical\ BEAM\ opcode\ 114,\ atom\-table\ requirements,\ tagged$	removal	Roadmap line explains why BEAM boolean-test opcode and atom-table representation assertions are intentionally absent.
ROADMAP_0_0_7.md	^\s*copied\ because\ Terlan\ VM\ executes\ typed\ CoreIR\ values\ without\ BEAM\ decoding\.$	removal	Roadmap line records that typed CoreIR values replace BEAM decoding for boolean discrimination.
ROADMAP_0_0_7.md	^\s*inequality\ is\ the\ Terlan\ XOR\-equivalent\ operation\.\ The\ historical\ Erlang$	removal	Roadmap line explains why legacy Erlang boolean-BIF behavior is represented by typed Terlan operators.
ROADMAP_0_0_7.md	^\s*stable\ diagnostic\.\ The\ historical\ Erlang\ loose\-versus\-exact\ comparison$	removal	Roadmap line explains why legacy Erlang comparison distinctions are intentionally absent from Terlan semantics.
ROADMAP_0_0_7.md	^\s*split,\ atom\ table,\ BIF\ and\ MFA\ dispatch,\ and\ BEAM\ result\ opcodes\ and$	removal	Roadmap line explains why legacy comparison dispatch and BEAM result representation assertions are intentionally absent.
ROADMAP_0_0_7.md	^\s*and\ removal\.\ The\ historical\ BEAM\ GC\-BIF2\ opcode\ 125,\ atom\-table$	removal	Roadmap line explains why BEAM GC-BIF2 and atom-table representation assertions are intentionally absent.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/md5\.rs`:\ the\ golden\ runtime\ now\ exposes$	parity-port	Roadmap line records verified NativeBoundary MD5 compatibility evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*BEAM\ instruction\-before\-signal\ ticks,\ register\ state,\ tagged\ terms,\ and$	removal	Roadmap line explains why compatibility signal scheduling and representation assertions are intentionally absent from the Terlan replacement.
ROADMAP_0_0_7.md	^\s*from\ the\ historical\ model\ suite\.\ BEAM\ instruction\ operands,\ register\ arrays,$	removal	Roadmap line explains why representation-specific runtime model cases are intentionally absent from the Terlan replacement.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/packet_length\.rs`:\ the\ golden\ VM\ packet$	parity-port	Roadmap line records verified file-level replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/bits_utf8_put\.rs`:\ the\ golden\ VM\ UTF\-8$	parity-port	Roadmap line records verified file-level replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/base64\.rs`:\ the\ golden\ NativeBoundary$	parity-port	Roadmap line records verified file-level replacement evidence for one external test-suite source.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/atom_identity_and_names\.rs`:\ the\ golden$	parity-port	Roadmap line records verified atom identity replacement evidence before deleting the BEAM-specific suite.
ROADMAP_0_0_7.md	^\s*BEAM\-specific\ `AtomId`,\ tagged\-term,\ encoding\-shape,\ mutable\ global\-table,$	removal	Roadmap line explains why BEAM atom-table implementation cases are intentionally absent from the Terlan replacement.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_move_lowering\.rs`:\ it$	removal	Roadmap records verified deletion of BEAM-only implementation test material.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_basic_type_lowering\.rs`:$	removal	Roadmap records verified deletion of BEAM-only basic type lowering test material.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_type_decoding\.rs`:\ it\ fixed\ the$	removal	Roadmap records verified deletion of the unsafe BEAM type-header C ABI decoder suite.
ROADMAP_0_0_7.md	^\s*retired\ BEAM\ C\ ABI\ struct\ size,\ alignment,\ field\ offsets,\ metadata\ bit\ flags,$	removal	Roadmap explains which retired BEAM C ABI representation assertions were deleted.
ROADMAP_0_0_7.md	^\s*that\ ERTS\ type\-header\ ABI\ or\ unsafe\ decoder\ surface,\ so\ porting\ these\ tests$	removal	Roadmap explains why the unsafe ERTS decoder has no Terlan replacement.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/api_boundary\.rs`\ plus\ its\ three$	removal	Roadmap records verified deletion of obsolete external compatibility API tests and fixtures.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/lock_flags\.rs`\ and$	removal	Roadmap records verified deletion of ERTS lock ABI test material.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/term_classification\.rs`\.\ The\ first$	removal	Roadmap records verified deletion of BEAM raw-term ABI test material.
ROADMAP_0_0_7.md	^\s*encoded\ ERTS\ C\ lock\ constants,\ NUL\-terminated\ diagnostic\ strings,\ and$	removal	Roadmap explains why ERTS lock representation tests have no Terlan replacement.
ROADMAP_0_0_7.md	^\s*static\ pointer\ identity;\ the\ second\ encoded\ BEAM\ raw\-word\ tags,\ immediate$	removal	Roadmap explains why BEAM raw-term representation tests have no Terlan replacement.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/shared_abi\.rs`\ and$	removal	Roadmap records verified deletion of the unsafe external C ABI helper suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/support_yielding_c_fun\.rs`\.\ The\ first$	removal	Roadmap records verified deletion of the OTP yielding-C-transformer suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_conversion_bifs\.rs`:$	parity-port	Roadmap records typed byte-buffer and integer conversion evidence before deleting the legacy conversion suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_size_bifs\.rs`:$	parity-port	Roadmap records typed collection-cardinality evidence before deleting the legacy size suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_small_extremes\.rs`:$	parity-port	Roadmap records typed integer min/max boundary evidence before deleting the legacy small-extremes suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_tuple_arity_lowering\.rs`:$	parity-port	Roadmap records tuple-pattern arity dispatch evidence before deleting the legacy tuple-arity lowering suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_tuple_list_lowering\.rs`:$	parity-port	Roadmap records nested tuple/list construction and pattern evidence before deleting the legacy tuple/list lowering suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_map_lowering\.rs`:$	parity-port	Roadmap records typed map association and lookup evidence before deleting the legacy map lowering suite.
ROADMAP_0_0_7.md	^\s*OTP\ yielding\-C\-transformer\ CLI,\ lexer\ quirks,\ and\ C\ fixtures\.\ Terlan\ VM\ uses$	removal	Roadmap explains why OTP source-to-source C transformation has no Terlan runtime replacement.
ROADMAP_0_0_7.md	^\s*tested\ BEAM\ opcode\ 64,\ tagged\ operands,\ and\ BEAM\ bytecode\ lowering\ rather$	removal	Roadmap explains why this BEAM-only test has no Terlan VM replacement.
ROADMAP_0_0_7.md	^\s*\-\ Acceptance:\ the\ gate\ fails\ when\ a\ new\ Erlang\ test\ file\ appears\ under$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ \[\ \]\ Investigate\ and\ fix\ VM\ HTTP\ socket\ concurrency\ after\ the\ Erlang/OTP\ test$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*old\ OTP/NativeBoundary\ HTTP\ handler\ path,\ but\ that\ legacy\ lane\ is\ only$	historical-baseline	Roadmap line keeps a historical comparison outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ keep\ the\ historical\ OTP/NativeBoundary\ report\ available\ for$	historical-baseline	Roadmap line keeps a historical comparison outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*OTP,\ because\ OTP\ is\ the\ reference\ for\ process\ spawn,\ mailbox$	historical-baseline	Roadmap line keeps a historical comparison outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ whenever\ Terlan\ VM\ falls\ behind\ Axum/Tokio,\ Hyper/Tokio,\ or\ OTP\ on\ a$	historical-baseline	Roadmap line keeps a historical comparison outside product runtime semantics.
ROADMAP_0_0_7.md	^\s*BEAM\ test\-suite\ port\-plan\ area,\ OTP\ reference\ behavior,\ status,\ and$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*Erlang,\ BEAM,\ host\ logs,\ or\ ad\ hoc\ print\ tracing\.$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*target\-profile,\ BEAM\-lowering,\ or\ CoreV0\ assumptions\ must\ be\ updated\ or$	stale-proof-cleanup	Roadmap line scopes stale proof cleanup for removed legacy lowering assumptions.
ROADMAP_0_0_7.md	^\s*proof\ terminology\ such\ as\ CoreV0,\ BEAM\ lowering,\ Erlang\ lowering,$	stale-proof-cleanup	Roadmap line scopes stale proof cleanup for removed legacy lowering assumptions.
ROADMAP_0_0_7.md	^\s*`@target\.erlang`,\ and\ `otp_application`\.\ Accepted\ proof\-gap\ rows\ must\ also$	stale-proof-cleanup	Roadmap line scopes stale proof cleanup for removed legacy lowering assumptions.
ROADMAP_0_0_7.md	^\s*still\ names\ removed\ BEAM/CoreV0/Erlang\-lowering\ product\ contracts\ as$	stale-proof-cleanup	Roadmap line scopes stale proof cleanup for removed legacy lowering assumptions.
ROADMAP_0_0_7.md	^\s*rely\ on\ removed\ BEAM\-only\ assumptions\ or\ untyped\ handles\.$	stale-proof-cleanup	Roadmap line scopes stale proof cleanup for removed legacy lowering assumptions.
